attendanceId,employeeId,attendanceDate,workingHours,attendanceStatus
1050,110,"2026-03-18",0,ABSENT
1051,111,"2026-03-18",9,WORK_FROM_HOME
1052,112,"2026-03-19",8,PRESENT
1053,113,"2026-03-19",7,PRESENT
1054,114,"2026-03-19",6,HALF_DAY
1055,115,"2026-03-20",8,PRESENT
1056,116,"2026-03-20",9,WORK_FROM_HOME
1057,117,"2026-03-20",7,PRESENT
1058,118,"2026-03-21",8,PRESENT
1059,119,"2026-03-21",6,HALF_DAY
1060,120,"2026-03-21",8,PRESENT
1061,121,"2026-03-22",9,WORK_FROM_HOME
1062,122,"2026-03-22",8,PRESENT
1063,123,"2026-03-22",7,PRESENT
1064,124,"2026-03-23",8,PRESENT
1065,125,"2026-03-23",0,ABSENT
1066,126,"2026-03-23",9,WORK_FROM_HOME
1067,127,"2026-03-24",7,PRESENT
1068,128,"2026-03-24",8,PRESENT
1069,129,"2026-03-24",6,HALF_DAY
1070,130,"2026-03-25",8,PRESENT
1071,131,"2026-03-25",9,WORK_FROM_HOME
1072,132,"2026-03-25",8,PRESENT
1073,133,"2026-03-26",7,PRESENT
1074,134,"2026-03-26",8,PRESENT
1075,135,"2026-03-26",6,HALF_DAY
1076,136,"2026-03-27",9,WORK_FROM_HOME
1077,137,"2026-03-27",8,PRESENT
1078,138,"2026-03-27",7,PRESENT
1079,139,"2026-03-28",8,PRESENT
1080,140,"2026-03-28",0,ABSENT
1081,101,"2026-03-28",9,WORK_FROM_HOME
1082,102,"2026-03-29",8,PRESENT
1083,103,"2026-03-29",7,PRESENT
1084,104,"2026-03-29",6,HALF_DAY
1085,105,"2026-03-30",8,PRESENT
1086,106,"2026-03-30",9,WORK_FROM_HOME
1087,107,"2026-03-30",7,PRESENT
1088,108,"2026-03-31",8,PRESENT
1089,109,"2026-03-31",6,HALF_DAY
1090,110,"2026-03-31",8,PRESENT
1091,111,"2026-04-01",9,WORK_FROM_HOME
1092,112,"2026-04-01",8,PRESENT
1093,113,"2026-04-01",7,PRESENT
1094,114,"2026-04-02",8,PRESENT
1095,115,"2026-04-02",0,ABSENT
1096,116,"2026-04-02",9,WORK_FROM_HOME
1097,117,"2026-04-03",7,PRESENT
1098,118,"2026-04-03",8,PRESENT
1099,119,"2026-04-03",6,HALF_DAY
1100,120,"2026-04-04",8,PRESENT
1101,121,"2026-04-04",9,WORK_FROM_HOME
1102,122,"2026-04-04",8,PRESENT
1103,123,"2026-04-05",7,PRESENT
1104,124,"2026-04-05",8,PRESENT
1105,125,"2026-04-05",6,HALF_DAY
1106,126,"2026-04-06",8,PRESENT
1107,127,"2026-04-06",9,WORK_FROM_HOME
1108,128,"2026-04-06",7,PRESENT
1109,129,"2026-04-07",8,PRESENT
1110,130,"2026-04-07",0,ABSENT
1111,131,"2026-04-07",9,WORK_FROM_HOME
1112,132,"2026-04-08",8,PRESENT
1113,133,"2026-04-08",7,PRESENT
1114,134,"2026-04-08",6,HALF_DAY
1115,135,"2026-04-09",8,PRESENT
1116,136,"2026-04-09",9,WORK_FROM_HOME
1117,137,"2026-04-09",7,PRESENT
1118,138,"2026-04-10",8,PRESENT
1119,139,"2026-04-10",6,HALF_DAY
1120,140,"2026-04-10",8,PRESENT
1121,101,"2026-04-11",9,WORK_FROM_HOME
1122,102,"2026-04-11",8,PRESENT
1123,103,"2026-04-11",7,PRESENT
1124,104,"2026-04-12",8,PRESENT
1125,105,"2026-04-12",6,HALF_DAY
1126,106,"2026-04-12",8,PRESENT
1127,107,"2026-04-13",9,WORK_FROM_HOME
1128,108,"2026-04-13",7,PRESENT
1129,109,"2026-04-13",8,PRESENT
1130,110,"2026-04-14",0,ABSENT
1131,111,"2026-04-14",9,WORK_FROM_HOME
1132,112,"2026-04-14",8,PRESENT
1133,113,"2026-04-15",7,PRESENT
1134,114,"2026-04-15",8,PRESENT
1135,115,"2026-04-15",6,HALF_DAY
1136,116,"2026-04-16",8,PRESENT
1137,117,"2026-04-16",9,WORK_FROM_HOME
1138,118,"2026-04-16",7,PRESENT
1139,119,"2026-04-17",8,PRESENT
1140,120,"2026-04-17",0,ABSENT
1141,121,"2026-04-17",9,WORK_FROM_HOME
1142,122,"2026-04-18",8,PRESENT
1143,123,"2026-04-18",7,PRESENT
1144,124,"2026-04-18",6,HALF_DAY
1145,125,"2026-04-19",8,PRESENT
1146,126,"2026-04-19",9,WORK_FROM_HOME
1147,127,"2026-04-19",7,PRESENT
1148,128,"2026-04-20",8,PRESENT
1149,129,"2026-04-20",6,HALF_DAY
1150,130,"2026-04-20",8,PRESENT
1151,131,"2026-04-21",-5,PRESENT
1152,132,"2026-04-21",-3,PRESENT
1153,133,"2026-04-21",-7,WORK_FROM_HOME
1154,,"2026-04-22",8,PRESENT
1155,,"2026-04-22",7,HALF_DAY
1156,134,"2026-12-15",8,PRESENT
1157,135,"2026-12-20",9,WORK_FROM_HOME
1158,136,"2026-04-23",8,PRESENT
1159,137,"2026-04-23",7,PRESENT
1160,138,"2026-04-23",6,HALF_DAY
1161,139,"2026-04-24",8,PRESENT
1162,140,"2026-04-24",9,WORK_FROM_HOME
1163,101,"2026-04-24",7,PRESENT
1164,102,"2026-04-25",8,PRESENT
1165,103,"2026-04-25",6,HALF_DAY
1166,104,"2026-04-25",8,PRESENT
1167,105,"2026-04-26",9,WORK_FROM_HOME
1168,106,"2026-04-26",7,PRESENT
1169,107,"2026-04-26",8,PRESENT
1170,108,"2026-04-27",0,ABSENT
1171,109,"2026-04-27",9,WORK_FROM_HOME
1172,110,"2026-04-27",8,PRESENT
1173,111,"2026-04-28",7,PRESENT
1174,112,"2026-04-28",8,PRESENT
1175,113,"2026-04-28",6,HALF_DAY
1176,114,"2026-04-29",8,PRESENT
1177,115,"2026-04-29",9,WORK_FROM_HOME
1178,116,"2026-04-29",7,PRESENT
1179,117,"2026-04-30",8,PRESENT
1180,118,"2026-04-30",6,HALF_DAY
1181,119,"2026-04-30",8,PRESENT
1182,120,"2026-05-01",9,WORK_FROM_HOME
1183,121,"2026-05-01",7,PRESENT
1184,122,"2026-05-01",8,PRESENT
1185,123,"2026-05-02",0,ABSENT
1186,124,"2026-05-02",9,WORK_FROM_HOME
1187,125,"2026-05-02",8,PRESENT
1188,126,"2026-05-03",7,PRESENT
1189,127,"2026-05-03",8,PRESENT
1190,128,"2026-05-03",6,HALF_DAY
1191,129,"2026-05-04",8,PRESENT
1192,130,"2026-05-04",9,WORK_FROM_HOME
1193,131,"2026-05-04",7,PRESENT
1194,132,"2026-05-05",8,PRESENT
1195,133,"2026-05-05",6,HALF_DAY
1196,134,"2026-05-05",8,PRESENT
1197,135,"2026-05-06",9,WORK_FROM_HOME
1198,136,"2026-05-06",7,PRESENT
1199,137,"2026-05-06",8,PRESENT
1200,138,"2026-05-07",0,ABSENT
1341,181,"2026-06-24",8,PRESENT
1342,182,"2026-06-24",9,WORK_FROM_HOME
1343,183,"2026-06-24",7,PRESENT
1344,184,"2026-06-25",8,PRESENT
1345,185,"2026-06-25",6,HALF_DAY
1346,186,"2026-06-25",8,PRESENT
1347,187,"2026-06-26",9,WORK_FROM_HOME
1348,188,"2026-06-26",7,PRESENT
1349,189,"2026-06-26",8,PRESENT
1350,190,"2026-06-27",0,ABSENT
1351,191,"2026-06-27",9,WORK_FROM_HOME
1352,192,"2026-06-27",8,PRESENT
1353,193,"2026-06-28",7,PRESENT
1354,194,"2026-06-28",8,PRESENT
1355,195,"2026-06-28",6,HALF_DAY
1356,196,"2026-06-29",8,PRESENT
1357,197,"2026-06-29",9,WORK_FROM_HOME
1358,198,"2026-06-29",7,PRESENT
1359,199,"2026-06-30",8,PRESENT
1360,200,"2026-06-30",0,ABSENT
1361,201,"2026-06-30",9,WORK_FROM_HOME
1362,202,"2026-07-01",8,PRESENT
1363,203,"2026-07-01",7,PRESENT
1364,204,"2026-07-01",6,HALF_DAY
1365,205,"2026-07-02",8,PRESENT
1366,206,"2026-07-02",9,WORK_FROM_HOME
1367,207,"2026-07-02",7,PRESENT
1368,208,"2026-07-03",8,PRESENT
1369,209,"2026-07-03",6,HALF_DAY
1370,210,"2026-07-03",8,PRESENT
1371,211,"2026-07-04",9,WORK_FROM_HOME
1372,212,"2026-07-04",8,PRESENT
1373,213,"2026-07-04",7,PRESENT
1374,214,"2026-07-05",8,PRESENT
1375,215,"2026-07-05",0,ABSENT
1376,216,"2026-07-05",9,WORK_FROM_HOME
1377,217,"2026-07-06",7,PRESENT
1378,218,"2026-07-06",8,PRESENT
1379,219,"2026-07-06",6,HALF_DAY
1380,220,"2026-07-07",8,PRESENT
1381,221,"2026-07-07",9,WORK_FROM_HOME
1382,222,"2026-07-07",8,PRESENT
1383,223,"2026-07-08",7,PRESENT
1384,224,"2026-07-08",8,PRESENT
1385,225,"2026-07-08",6,HALF_DAY
1386,226,"2026-07-09",8,PRESENT
1387,227,"2026-07-09",9,WORK_FROM_HOME
1388,228,"2026-07-09",7,PRESENT
1389,229,"2026-07-10",8,PRESENT
1390,230,"2026-07-10",0,ABSENT
1391,231,"2026-07-10",9,WORK_FROM_HOME
1392,232,"2026-07-11",8,PRESENT
1393,233,"2026-07-11",7,PRESENT
1394,234,"2026-07-11",6,HALF_DAY
1395,235,"2026-07-12",8,PRESENT
1396,236,"2026-07-12",9,WORK_FROM_HOME
1397,237,"2026-07-12",7,PRESENT
1398,238,"2026-07-13",8,PRESENT
1399,239,"2026-07-13",6,HALF_DAY
1400,240,"2026-07-13",8,PRESENT
1401,241,"2026-07-14",9,WORK_FROM_HOME
1402,242,"2026-07-14",8,PRESENT
1403,243,"2026-07-14",7,PRESENT
1404,244,"2026-07-15",8,PRESENT
1405,245,"2026-07-15",0,ABSENT
1406,246,"2026-07-15",9,WORK_FROM_HOME
1407,247,"2026-07-16",7,PRESENT
1408,248,"2026-07-16",8,PRESENT
1409,249,"2026-07-16",6,HALF_DAY
1410,250,"2026-07-17",8,PRESENT
1411,251,"2026-07-17",9,WORK_FROM_HOME
1412,252,"2026-07-17",8,PRESENT
1413,253,"2026-07-18",7,PRESENT
1414,254,"2026-07-18",8,PRESENT
1415,255,"2026-07-18",6,HALF_DAY
1416,256,"2026-07-19",8,PRESENT
1417,257,"2026-07-19",9,WORK_FROM_HOME
1418,258,"2026-07-19",7,PRESENT
1419,259,"2026-07-20",8,PRESENT
1420,260,"2026-07-20",0,ABSENT
1421,261,"2026-07-20",9,WORK_FROM_HOME
1422,262,"2026-07-21",8,PRESENT
1423,263,"2026-07-21",7,PRESENT
1424,264,"2026-07-21",6,HALF_DAY
1425,265,"2026-07-22",8,PRESENT
1426,266,"2026-07-22",9,WORK_FROM_HOME
1427,267,"2026-07-22",7,PRESENT
1428,268,"2026-07-23",8,PRESENT
1429,269,"2026-07-23",6,HALF_DAY
1430,270,"2026-07-23",8,PRESENT
1431,271,"2026-07-24",9,WORK_FROM_HOME
1432,272,"2026-07-24",8,PRESENT
1433,273,"2026-07-24",7,PRESENT
1434,274,"2026-07-25",8,PRESENT
1435,275,"2026-07-25",0,ABSENT
1436,276,"2026-07-25",9,WORK_FROM_HOME
1437,277,"2026-07-26",7,PRESENT
1438,278,"2026-07-26",8,PRESENT
1439,279,"2026-07-26",6,HALF_DAY
1440,280,"2026-07-27",8,PRESENT
